Rank , Code , Company, Price , 1 Day , 1 Month , 1 Year , Sector , Mkt Cap
1399, RHY, RHYTHM Biosciences Ltd, $0.12, 0.00%, +39.54%, +42.86%, Health Care, $39.13M
378, RIC, Ridley Corporation Ltd, $2.62, +1.16%, 0.00%, -2.64%, Consumer Staples, $982.12M
2150, RIE, Riedel Resources Ltd, $0.034, 0.00%, +3.70%, +13.74%, Materials, $5.37M
1700, RIIF, Resolution GBL Listed Infra Fund - Active ETF, $1.16, 0.00%, -0.86%, +6.42%, Financials, $19.1M
1815, RIL, Redivium Ltd, $0.004, 0.00%, 0.00%, 0.00%, Materials, $13.61M
1403, RIM, Rimfire Pacific Mining Ltd, $0.014, -3.45%, +16.67%, -60.00%, Materials, $38.63M
11, RIO, RIO Tinto Ltd, $147.50, +0.75%, +15.37%, +26.98%, Materials, $54.75B
782, RIV, Rivco Australia Ltd, $1.445, +4.33%, -0.35%, +10.31%, Utilities, $229.49M
2093, RKB, Rokeby Resources Ltd, $0.004, -12.50%, -30.00%, -36.36%, Materials, $6.39M
1199, RKN, Reckon Ltd, $0.58, +1.75%, 0.00%, -1.70%, Information Technology, $65.71M
1489, RKT, Rocketdna Ltd, $0.028, +21.74%, +64.71%, +115.39%, Information Technology, $31.84M
2278, RLC, Reedy Lagoon Corporation Ltd, $0.003, 0.00%, -40.00%, +50.00%, Materials, $2.33M
1491, RLF, RLF Agtech Ltd, $0.067, 0.00%, +4.69%, +109.38%, Materials, $31.38M
2045, RLG, Roolife Group Ltd, $0.004, 0.00%, +14.29%, -20.00%, Communication Services, $7.51M
1586, RLT, Renergen Ltd, $0.815, -2.98%, -5.78%, +38.14%, Energy, $24.72M
1663, RMBS, Vaneck Australian RMBS ETF, $25.12, 0.00%, 0.00%, +0.72%, Financials, $20.61M
619, RMC, Resimac Group Ltd, $0.965, -0.52%, -5.39%, +1.58%, Financials, $381.69M
29, RMD, Resmed Inc, $36.22, -2.06%, -4.21%, -2.06%, Health Care, $20.99B
1652, RMI, Resource Minerals International Ltd, $0.026, 0.00%, -7.14%, +420.00%, Materials, $21.05M
1104, RML, Resolution Minerals Ltd, $0.046, -2.13%, -24.59%, +228.57%, Materials, $86.15M
78, RMS, Ramelius Resources Ltd, $4.20, +0.72%, +23.89%, +99.05%, Materials, $8.08B
1620, RMX, Red Mountain Mining Ltd, $0.024, 0.00%, -22.58%, +140.00%, Materials, $22.59M
1509, RMY, Rma Global Ltd, $0.046, +2.22%, +48.39%, +12.20%, Communication Services, $30.56M
935, RND, Rand Mining Ltd, $2.47, -0.80%, +2.92%, +63.04%, Materials, $140.48M
1280, RNT, Rent.com.Au Ltd, $0.048, +4.35%, -4.00%, +172.15%, Communication Services, $52.88M
805, RNU, Renascor Resources Ltd, $0.083, +2.47%, +9.21%, +45.61%, Materials, $211.16M
1817, RNV, Renerve Ltd, $0.103, +2.50%, -10.87%, -43.06%, Health Care, $13.57M
2009, RNX, Renegade Exploration Ltd, $0.004, 0.00%, 0.00%, -20.00%, Materials, $8.28M
749, ROBO, Global X Robo Global Robotics & Automation ETF, $91.48, -0.85%, +6.14%, +15.53%, Financials, $255.46M
1235, ROC, Rocketboots Ltd, $0.35, +32.08%, +112.12%, +366.67%, Information Technology, $59.96M
1759, ROG, Red Sky Energy Ltd, $0.003, 0.00%, 0.00%, -72.73%, Energy, $16.27M
2124, RON, Ronin Resources Ltd, $0.145, 0.00%, -6.45%, -17.14%, Materials, $5.85M
1289, ROYL, Betashares Global Royalties ETF, $12.73, -0.39%, +2.50%, +21.12%, Financials, $51.91M
334, RPL, Regal Partners Ltd, $3.24, -0.31%, +16.97%, -9.24%, Financials, $1.2B
1796, RPM, RPM Automotive Group Ltd, $0.052, -3.70%, -16.13%, -24.64%, Consumer Discretionary, $14.17M
1992, RR1, Reach Resources Ltd, $0.01, 0.00%, 0.00%, +53.85%, Materials, $8.74M
1627, RRE, Right Resources Ltd, $0.25, -2.91%, +47.06%, +25.00%, Materials, $22.19M
114, RRL, Regis Resources Ltd, $7.73, +0.39%, +17.12%, +198.46%, Materials, $5.85B
1590, RRR, Revolver Resources Holdings Ltd, $0.083, -1.19%, +10.67%, +167.74%, Materials, $24.53M
189, RSG, Resolute Mining Ltd, $1.285, -0.39%, +29.80%, +229.49%, Materials, $2.74B
1246, RSM, Russell Investments Australian Semi-Government Bond ETF, $20.58, +0.05%, -1.15%, +1.53%, Financials, $58.39M
2158, RSSL, Global X Russell 2000 ETF, $10.50, -1.22%, +5.95%, +5.32%, Financials, $5.25M
1291, RTG, RTG Mining Inc, $0.028, 0.00%, -6.67%, +12.00%, Materials, $51.76M
1431, RTH, Ras Technology Holdings Ltd, $0.76, -0.65%, -30.91%, -12.39%, Industrials, $36.39M
1256, RTR, Rumble Resources Ltd, $0.043, +2.38%, +19.44%, +7.24%, Materials, $56.34M
356, RUL, Rpmglobal Holdings Ltd, $4.95, -0.20%, +1.02%, +67.23%, Information Technology, $1.1B
1764, RVT, Richmond Vanadium Technology Ltd, $0.072, -1.37%, -7.69%, -65.71%, Materials, $15.86M
182, RWC, Reliance Worldwide Corporation Ltd, $3.81, -2.31%, -2.31%, -25.59%, Industrials, $2.92B
1918, RWD, Reward Minerals Ltd, $0.039, 0.00%, -17.02%, -36.07%, Materials, $10.69M
1435, RWL, Rubicon Water Ltd, $0.15, 0.00%, -18.92%, -48.28%, Information Technology, $36.12M
476, RXL, ROX Resources Ltd, $0.48, 0.00%, +31.51%, +152.63%, Materials, $666.36M
577, RXR, ROBEX Resources Inc, $5.50, 0.00%, +18.79%, +76.85%, Materials, $447.98M
898, RYD, Ryder Capital Ltd, $1.97, +5.35%, +15.88%, +52.71%, Financials, $158.68M
194, RYM, Ryman Healthcare Ltd, $2.60, 0.00%, +2.36%, +14.04%, Health Care, $2.64B
1301, RYZ, RYZON Materials Ltd, $0.042, 0.00%, 0.00%, 0.00%, Materials, $50.38M
1137, RZI, RAIZ Invest Ltd, $0.745, -2.61%, -12.35%, +31.86%, Financials, $78.52M
1417, S2R, S2 Resources Ltd, $0.07, 0.00%, -22.22%, +7.69%, Materials, $37.18M
39, S32, SOUTH32 Ltd, $3.51, +0.57%, +13.96%, +2.93%, Materials, $15.76B
1622, S3GO, Firetrail S3 Global Opps Fund - Active ETF, $6.71, 0.00%, +1.05%, +3.23%, Financials, $22.4M
1462, S66, Star Combo Pharma Ltd, $0.25, +4.17%, +16.28%, +85.19%, Consumer Staples, $33.77M
2279, SAN, Sagalio Energy Ltd, $0.011, 0.00%, -26.67%, +120.00%, Energy, $2.25M
1227, SB2, Salter Brothers Emerging Companies Ltd, $0.73, +1.39%, -1.35%, -7.60%, Financials, $61.38M
448, SBM, ST Barbara Ltd, $0.605, +3.42%, +19.80%, +202.50%, Materials, $731.93M
2204, SBR, Sabre Resources Ltd, $0.011, 0.00%, -8.33%, +10.00%, Materials, $4.34M
27, SCG, Scentre Group, $4.19, -0.71%, +3.71%, +18.70%, Real Estate, $21.86B
1713, SCN, Scorpion Minerals Ltd, $0.035, +9.38%, +29.63%, +169.23%, Materials, $18.47M
1989, SCP, Scalare Partners Holdings Ltd, $0.10, 0.00%, -16.67%, -35.48%, Consumer Staples, $8.81M
116, SDF, Steadfast Group Ltd, $5.24, -0.57%, +1.16%, -11.04%, Financials, $5.83B
1002, SDI, SDI Ltd, $0.965, +4.89%, +2.66%, -17.70%, Health Care, $114.71M
263, SDR, Siteminder Ltd, $6.30, +0.16%, +9.19%, +4.83%, Information Technology, $1.78B
1089, SDV, Scidev Ltd, $0.46, 0.00%, +5.75%, -19.30%, Materials, $87.44M
1019, SEA, SEA Forest Ltd, $2.38, -2.06%, +19.00%, +19.00%, Consumer Staples, $111.3M
878, SEC, Spheria Emerging Companies Ltd, $2.79, 0.00%, +8.56%, +19.23%, Financials, $167.13M
1127, SEG, Sports Entertainment Group Ltd, $0.285, -1.72%, +14.00%, +29.55%, Communication Services, $80.05M
76, SEK, Seek Ltd, $22.98, -2.42%, -7.82%, -0.61%, Communication Services, $8.21B
566, SEMI, Global X Semiconductor ETF, $22.96, -0.17%, +7.04%, +30.83%, Financials, $464.36M
1393, SEN, Senetas Corporation Ltd, $2.39, -1.24%, -4.40%, -8.08%, Information Technology, $39.62M
1453, SEQ, Sequoia Financial Group Ltd, $0.28, 0.00%, +19.15%, -26.32%, Financials, $34.33M
2053, SER, Strategic Energy Resources Ltd, $0.007, +8.33%, -13.33%, -7.14%, Materials, $7.24M
737, SFC, Schaffer Corporation Ltd, $20.00, 0.00%, +2.56%, -9.38%, Consumer Discretionary, $271.82M
1790, SFG, Seafarms Group Ltd, $0.003, +20.00%, +20.00%, +50.00%, Consumer Staples, $14.51M
1738, SFIF, Seed Financial Income Fund Active ETF, $10.80, 0.00%, 0.00%, +0.37%, N/A, $17.32M
1446, SFM, Santa Fe Minerals Ltd, $0.31, +3.33%, +19.23%, +968.97%, Materials, $34.97M
74, SFR, Sandfire Resources Ltd, $17.87, +1.13%, +19.13%, +87.12%, Materials, $8.25B
1571, SFX, Sheffield Resources Ltd, $0.065, -1.52%, -9.72%, -59.38%, Materials, $25.71M
452, SFY, State Street SPDR S&P/ASX 50 ETF, $75.55, -0.44%, +3.81%, +2.92%, Financials, $726.19M
1692, SGA, Sarytogan Graphite Ltd, $0.097, +1.04%, -7.62%, +53.97%, Materials, $19.5M
34, SGH, SGH Ltd, $47.12, -0.06%, +7.16%, +2.10%, Industrials, $19.18B
810, SGI, Stealth Group Holdings Ltd, $1.395, +3.33%, +19.23%, +228.24%, Industrials, $208.63M
338, SGLLV, Ricegrowers Ltd, $17.44, +1.10%, +7.72%, +68.50%, Consumer Staples, $1.19B
161, SGM, Sims Ltd, $18.01, -0.17%, +19.43%, +51.47%, Materials, $3.48B
42, SGP, Stockland, $5.85, -1.18%, -4.26%, +17.47%, Real Estate, $14.17B
621, SGQ, ST George Mining Ltd, $0.10, 0.00%, +4.17%, +300.00%, Materials, $380.16M
410, SGR, The Star Entertainment Group Ltd, $0.13, 0.00%, +23.81%, -31.58%, Consumer Discretionary, $862.71M
538, SHA, Shape Australia Corporation Ltd, $6.16, +0.65%, +0.33%, +116.14%, Industrials, $514.29M
2180, SHE, Stonehorse Energy Ltd, $0.007, 0.00%, 0.00%, +7.69%, Energy, $4.79M
1126, SHG, Singular Health Group Ltd, $0.255, 0.00%, -1.92%, -7.27%, Health Care, $80.06M
997, SHJ, Shine Justice Ltd, $0.685, -2.14%, -1.44%, -22.60%, Consumer Discretionary, $116.03M
59, SHL, Sonic Healthcare Ltd, $22.57, -1.01%, -2.25%, -18.11%, Health Care, $11.15B
1229, SHM, Shriro Holdings Ltd, $0.785, 0.00%, +0.97%, +5.37%, Consumer Discretionary, $61.15M
1239, SHN, Sunshine Metals Ltd, $0.023, 0.00%, +21.05%, +155.56%, Materials, $59.29M
1371, SHO, Sportshero Ltd, $0.051, +2.00%, +27.50%, +155.00%, Communication Services, $41.67M
2245, SHP, South HARZ Potash Ltd, $0.026, -3.70%, +4.00%, -82.67%, Materials, $3.42M
454, SHV, Select Harvests Ltd, $5.07, -0.59%, +31.01%, +19.58%, Consumer Staples, $720.49M
18, SIG, Sigma Healthcare Ltd, $2.98, +0.34%, +1.02%, +12.88%, Health Care, $34.4B
1355, SIO, Simonds Group Ltd, $0.12, -14.29%, 0.00%, -14.29%, Consumer Discretionary, $43.19M
328, SIQ, Smartgroup Corporation Ltd, $9.05, -1.20%, +9.17%, +18.61%, Industrials, $1.23B
2147, SIS, Simble Solutions Ltd, $0.005, 0.00%, +25.00%, +25.00%, Information Technology, $5.44M
2062, SIV, SIV Capital Ltd, $0.15, 0.00%, 0.00%, 0.00%, Industrials, $7.1M
1394, SIX, Sprintex Ltd, $0.06, 0.00%, +3.45%, -3.23%, Consumer Discretionary, $39.55M
404, SKC, Skycity Entertainment Group Ltd, $0.79, +1.28%, +8.97%, -32.56%, Consumer Discretionary, $871.41M
1030, SKK, Stakk Ltd, $0.035, +1.45%, -16.67%, +400.00%, Information Technology, $108.3M
1613, SKM, Skylark Minerals Ltd, $0.26, -5.46%, +36.84%, -5.46%, Materials, $22.93M
1791, SKN, Skin Elements Ltd, $0.005, 0.00%, 0.00%, +30.44%, Consumer Staples, $14.5M
698, SKO, Serko Ltd, $2.54, 0.00%, +14.41%, -24.18%, Information Technology, $317.2M
573, SKS, SKS Technologies Group Ltd, $3.93, -2.24%, +13.26%, +120.79%, Industrials, $450.8M
602, SKT, Sky Network Television Ltd, $2.93, 0.00%, -5.79%, +18.15%, Communication Services, $403.39M
2139, SKUK, HEJAZ Sukuk Active ETF, $1.055, -0.47%, -1.86%, -2.32%, Financials, $5.61M
1222, SKY, SKY Metals Ltd, $0.075, +1.35%, +11.11%, +44.23%, Materials, $61.85M
1903, SLA, Solara Minerals Ltd, $0.185, 0.00%, -2.63%, +103.30%, Materials, $10.96M
2201, SLB, Stelar Metals Ltd, $0.069, +1.47%, -1.43%, +2.99%, Materials, $4.46M
319, SLC, Superloop Ltd, $2.55, -0.39%, +5.37%, +19.16%, Communication Services, $1.31B
637, SLD, Saluda Medical, Inc, $1.45, +1.05%, -45.28%, -45.28%, Health Care, $365.43M
518, SLF, State Street SPDR S&P/ASX 200 Listed Property ETF, $14.04, -0.57%, +4.78%, +4.23%, Financials, $554.58M
2099, SLMDA, Solis Minerals Ltd, $0.042, 0.00%, -10.64%, -10.64%, N/A, $6.35M
1368, SLS, Solstice Minerals Ltd, $0.37, -1.33%, +29.83%, +138.71%, Materials, $41.95M
207, SLX, SILEX Systems Ltd, $8.62, -2.05%, +13.42%, +74.49%, Industrials, $2.4B
2156, SLZ, Sultan Resources Ltd, $0.009, 0.00%, +12.50%, +28.57%, Materials, $5.27M
692, SM1, Synlait Milk Ltd, $0.53, 0.00%, -8.62%, +45.21%, Consumer Staples, $319.69M
436, SMI, Santana Minerals Ltd, $0.915, +2.81%, +15.09%, +103.33%, Materials, $764.54M
681, SMLL, Betashares Australian Small Companies Select ETF, $4.77, -0.21%, +6.95%, +32.13%, Financials, $327.27M
1772, SMM, Somerset Minerals Ltd, $0.013, -7.14%, +8.33%, +8.33%, Materials, $15.54M
1244, SMN, Structural Monitoring Systems Plc, $0.38, +4.11%, +2.70%, -22.45%, Information Technology, $58.67M
222, SMR, Stanmore Resources Ltd, $2.37, 0.00%, +13.40%, -20.74%, Materials, $2.14B
1971, SMS, Star Minerals Ltd, $0.042, 0.00%, -6.67%, +13.51%, Materials, $9.35M
2070, SMX, Strata Minerals Ltd, $0.022, -4.35%, +4.76%, -4.35%, Materials, $6.89M
1211, SNAS, Global X Ultra Short Nasdaq 100 Complex ETF, $15.43, -0.90%, -12.43%, -31.64%, Financials, $64.42M
961, SNC, Sandon Capital Investments Ltd, $0.885, -1.12%, -3.80%, +14.19%, Financials, $129.26M
1009, SND, Saunders International Ltd, $0.81, 0.00%, +1.25%, -15.63%, Industrials, $113.07M
1528, SNG, Siren Gold Ltd, $0.096, -4.00%, -12.73%, +47.69%, Materials, $28.8M
308, SNL, Supply Network Ltd, $32.10, -1.20%, -1.38%, -0.93%, Consumer Discretionary, $1.4B
1644, SNM, Sentinel Metals Ltd, $0.393, +1.95%, +22.66%, +96.25%, Materials, $21.35M
1164, SNS, Sensen Networks Ltd, $0.087, -4.40%, -20.91%, +141.67%, Information Technology, $72.2M
1275, SNT, Syntara Ltd, $0.033, +3.13%, +13.79%, -50.75%, Health Care, $53.87M
1813, SNX, Sierra Nevada Gold Inc, $0.028, -6.67%, +12.00%, -26.32%, Materials, $13.64M
201, SNZ, Summerset Group Holdings Ltd, $10.20, 0.00%, -5.56%, -12.90%, Health Care, $2.47B
2078, SOC, Soco Corporation Ltd, $0.048, 0.00%, -2.04%, -56.36%, Information Technology, $6.69M
45, SOL, Washington H. Soul Pattinson and Company Ltd, $36.34, -0.17%, -0.19%, +4.73%, Financials, $13.81B
879, SOM, Somnomed Ltd, $0.765, +0.66%, -3.17%, +66.30%, Health Care, $166.91M
1955, SOP, Synertec Corporation Ltd, $0.019, +5.56%, -5.00%, -65.46%, Industrials, $9.87M
1544, SOR, Strategic Elements Ltd, $0.057, +1.79%, -6.56%, +23.91%, Financials, $27.49M
1826, SP3, Spectur Ltd, $0.033, 0.00%, +13.79%, +120.00%, Information Technology, $13.35M
1842, SP8, Streamplay Studio Ltd, $0.01, -16.67%, -16.67%, +11.11%, Communication Services, $12.81M
1902, SPA, Spacetalk Ltd, $0.105, 0.00%, -17.65%, -36.36%, Information Technology, $10.99M
684, SPD, Southern Palladium Ltd, $2.60, +6.56%, +169.43%, +333.33%, Materials, $325.5M
1145, SPG, SPC Global Holdings Ltd, $0.40, -2.44%, +5.26%, -59.18%, Consumer Staples, $77.19M
150, SPK, Spark New Zealand Ltd, $1.965, +0.77%, +0.77%, -25.29%, Communication Services, $3.71B
892, SPL, Starpharma Holdings Ltd, $0.385, +4.05%, 0.00%, +285.00%, Health Care, $161.02M
1603, SPN, Sparc Technologies Ltd, $0.20, +8.11%, +29.03%, +21.21%, Materials, $23.64M
1712, SPQ, Superior Resources Ltd, $0.007, +7.69%, -22.22%, +16.67%, Materials, $18.48M
1819, SPX, Spenda Ltd, $0.003, 0.00%, -16.67%, -75.00%, Information Technology, $13.55M
613, SPY, SPDR S&P 500 ETF, $1,024.86, -0.19%, +0.88%, +7.45%, Financials, $391.4M
534, SPZ, Smart Parking Ltd, $1.28, -1.54%, -1.92%, +46.83%, Industrials, $525M
2059, SQX, SQX Resources Ltd, $0.14, +7.69%, -9.68%, +70.73%, Materials, $7.18M
244, SRG, SRG Global Ltd, $3.01, +1.35%, +14.02%, +130.65%, Industrials, $1.89B
2193, SRH, Saferoads Holdings Ltd, $0.105, 0.00%, +11.70%, +156.10%, Industrials, $4.59M
1691, SRJ, SRJ Technologies Group Plc, $0.014, 0.00%, +7.69%, -60.00%, Energy, $19.5M
1894, SRK, Strike Resources Ltd, $0.04, +8.11%, +25.00%, +33.33%, Materials, $11.35M
366, SRL, Sunrise Energy Metals Ltd, $7.76, -0.39%, +82.16%, +3509.30%, Materials, $1.03B
2019, SRN, Surefire Resources NL, $0.002, 0.00%, 0.00%, -31.68%, Materials, $8.05M
1755, SRR, Sarama Resources Ltd, $0.045, 0.00%, 0.00%, +55.17%, Materials, $16.57M
1553, SRT, Strata Investment Holdings Plc, $0.16, 0.00%, 0.00%, 0.00%, Materials, $27.11M
466, SRV, Servcorp Ltd, $6.93, -1.84%, -5.07%, +42.30%, Real Estate, $691.02M
1149, SRZ, Stellar Resources Ltd, $0.028, +3.70%, +16.67%, +100.00%, Materials, $75.8M
774, SS1, Sun Silver Ltd, $1.765, +2.62%, +81.03%, +184.68%, Materials, $233.89M
824, SSG, Shaver Shop Group Ltd, $1.505, +2.38%, +5.99%, +14.02%, Consumer Discretionary, $197.17M
1709, SSH, SSH Group Ltd, $0.17, 0.00%, +3.03%, +102.38%, Industrials, $18.53M
1180, SSL, Sietel Ltd, $8.59, 0.00%, 0.00%, -11.90%, Real Estate, $68.78M
2318, SSLPA, Sietel Ltd, $1.00, 0.00%, 0.00%, 0.00%, N/A, $75K
310, SSM, Service Stream Ltd, $2.26, 0.00%, +7.11%, +43.95%, Industrials, $1.4B
1481, SSO, State Street SPDR S&P/ASX Small Ordinaries ETF, $17.53, +0.23%, +8.21%, +22.42%, Financials, $32.63M
697, SST, Steamships Trading Company Ltd, $10.23, 0.00%, -6.92%, -25.87%, Industrials, $317.21M
1600, STG, Straker Ltd, $0.37, +7.25%, +2.78%, -39.34%, Industrials, $23.81M
1606, STH, Stepchange Holdings Ltd, $0.145, +3.57%, -3.33%, -27.50%, Information Technology, $23.24M
571, STK, Strickland Metals Ltd, $0.20, -2.44%, +11.11%, +179.64%, Materials, $457.61M
963, STM, Sunstone Metals Ltd, $0.019, 0.00%, -20.83%, +171.43%, Materials, $129.02M
727, STN, Saturn Metals Ltd, $0.515, -2.83%, +9.57%, +134.09%, Materials, $281.47M
31, STO, Santos Ltd, $6.10, 0.00%, -5.13%, -6.59%, Energy, $19.81B
1207, STP, Step One Clothing Ltd, $0.35, +4.48%, -25.53%, -71.77%, Consumer Discretionary, $64.87M
1945, STV, Swift TV Ltd, $0.009, 0.00%, -18.18%, -13.37%, Communication Services, $10.13M
107, STW, State Street SPDR S&P/ASX 200 ETF, $78.99, -0.45%, +4.10%, +6.06%, Financials, $6.25B
626, STX, Strike Energy Ltd, $0.105, 0.00%, -4.55%, -46.15%, Energy, $377.94M
174, SUBD, Vaneck Australian Subordinated Debt ETF, $25.28, +0.04%, 0.00%, 0.00%, Financials, $3.17B
1630, SUH, Southern Hemisphere Mining Ltd, $0.03, 0.00%, -6.25%, -9.09%, Materials, $22.09M
154, SUL, Super Retail Group Ltd, $15.94, -0.19%, -1.06%, +1.66%, Consumer Discretionary, $3.6B
2169, SUM, Summit Minerals Ltd, $0.035, +2.94%, -5.41%, -69.22%, Materials, $5.04M
35, SUN, Suncorp Group Ltd, $17.69, -0.73%, -5.35%, -8.67%, Financials, $19.16B
611, SUNPH, Suncorp Group Ltd, $100.81, +0.14%, -0.61%, -1.72%, N/A, $392.15M
592, SUNPI, Suncorp Group Ltd, $103.50, +0.24%, +0.44%, +0.87%, N/A, $419.18M
629, SUNPJ, Suncorp Group Ltd, $103.73, -0.04%, -0.02%, +0.71%, N/A, $373.43M
1430, SVG, Savannah Goldfields Ltd, $0.017, -5.56%, -10.53%, -11.69%, Materials, $36.41M
598, SVL, Silver Mines Ltd, $0.19, +5.56%, +11.77%, +137.50%, Materials, $407.27M
624, SVM, Sovereign Metals Ltd, $0.585, -1.68%, +17.00%, -18.18%, Materials, $378.46M
2212, SVNP, Savana US Small Caps Active ETF, $1.645, -0.90%, +5.79%, +15.04%, Financials, $4.19M
676, SVR, Solvar Ltd, $1.76, -1.40%, +7.65%, +17.33%, Financials, $332.4M
1904, SVY, Stavely Minerals Ltd, $0.016, -5.88%, +23.08%, 0.00%, Materials, $10.96M
836, SWM, Seven West Media Ltd, $0.125, +4.17%, -3.85%, -16.67%, Communication Services, $192.39M
1574, SWP, Swoop Holdings Ltd, $0.105, -4.55%, -12.98%, -32.87%, Communication Services, $25.45M
1242, SWTZ, Switzer Dividend Growth Fund - Active ETF, $2.47, -0.40%, +4.66%, +0.61%, Financials, $58.83M
277, SX2, Southern Cross Gold Consolidated Ltd, $11.40, +2.43%, +70.15%, +200.00%, Materials, $1.61B
474, SXE, Southern Cross Electrical Engineering Ltd, $2.52, +1.21%, +14.55%, +62.58%, Industrials, $670.25M
828, SXL, Southern Cross Media Group Ltd, $0.815, +2.52%, +1.88%, +32.52%, Communication Services, $195.52M
519, SYI, State Street SPDR MSCI Aus Select High Dividend Yield ETF, $29.69, -0.54%, +1.96%, +1.12%, Financials, $550.52M
417, SYL, Symal Group Ltd, $3.46, -0.86%, +41.22%, +100.00%, Industrials, $827.44M
599, SYR, Syrah Resources Ltd, $0.31, +1.64%, +8.77%, +81.13%, Materials, $406.58M
2080, T3D, 333D Ltd, $0.033, -10.81%, -45.00%, +200.00%, Industrials, $6.65M
2277, T3MP, Jpmorgan Climate Change Solutions Active ETF, $68.01, +0.09%, +1.33%, +9.17%, Financials, $2.38M
1901, T88, Taiton Resources Ltd, $0.115, +4.55%, +35.29%, -14.82%, Materials, $11.08M
2141, T92, Terra Critical Minerals Ltd, $0.038, -5.00%, -17.39%, -9.52%, Energy, $5.57M
215, TAH, Tabcorp Holdings Ltd, $0.98, -1.51%, +7.10%, +66.10%, Consumer Discretionary, $2.24B
1551, TAL, Talius Group Ltd, $0.08, 0.00%, 0.00%, -20.00%, Information Technology, $27.27M
1060, TAM, Tanami Gold NL, $0.082, +2.50%, +22.39%, +173.33%, Materials, $96.36M
1775, TAR, Taruga Minerals Ltd, $0.019, 0.00%, +90.00%, +90.00%, Materials, $15.36M
1984, TAS, Tasman Resources Ltd, $0.02, 0.00%, -9.09%, -20.00%, Materials, $9.1M
1925, TAT, Tartana Minerals Ltd, $0.045, -4.26%, -10.00%, +4.65%, Materials, $10.54M
926, TBIL, Vaneck 1-3 Month US Treasury Bond ETF, $49.98, -0.60%, -3.92%, -7.17%, Financials, $143.88M
682, TBN, Tamboran Resources Corporation, $0.20, +8.11%, +8.11%, +42.86%, Energy, $327.02M
703, TBR, Tribune Resources Ltd, $5.96, -1.65%, -2.14%, +39.25%, Materials, $312.71M
2274, TCAP, Ten Cap Alpha Plus Complex ETF, $10.22, -0.78%, +1.19%, +1.19%, N/A, $2.56M
1287, TCF, 360 Capital Mortgage REIT, $5.78, +1.40%, +1.94%, -1.70%, Financials, $52.01M
390, TCG, Turaco Gold Ltd, $0.87, +1.16%, +95.51%, +222.22%, Materials, $915.91M
13, TCL, Transurban Group, $14.46, -0.62%, -2.43%, +5.32%, Industrials, $45.04B
1490, TCO, Transmetro Corporation Ltd, $2.35, +1.29%, +9.30%, +24.67%, Consumer Discretionary, $31.45M
2271, TD1, Tali Digital Ltd, $0.056, 0.00%, -44.00%, -44.00%, Health Care, $2.62M
1272, TDO, 3D Energi Ltd, $0.13, -3.70%, -25.71%, +42.86%, Energy, $54.45M
354, TEA, Tasmea Ltd, $4.25, +0.47%, -5.56%, +38.44%, Industrials, $1.11B
679, TECH, Global X Morningstar Global Technology ETF, $102.42, -1.16%, +3.56%, -10.04%, Financials, $328.6M
2006, TEE, Top End Energy Ltd, $0.03, 0.00%, -25.00%, -75.00%, Energy, $8.39M
2082, TEG, Triangle Energy (Global) Ltd, $0.003, +20.00%, 0.00%, -40.00%, Energy, $6.6M
1337, TEK, Thorney Technologies Ltd, $0.12, 0.00%, -4.00%, -11.11%, Financials, $45.34M
2036, TEM, Tempest Minerals Ltd, $0.007, 0.00%, 0.00%, +75.00%, Materials, $7.71M
1281, TER, Terracom Ltd, $0.066, -26.67%, -22.35%, -61.18%, Energy, $52.86M
2282, TFL, Tasfoods Ltd, $0.005, -16.67%, 0.00%, -70.59%, Consumer Staples, $2.19M
1880, TG1, Techgen Metals Ltd, $0.032, +3.23%, +10.35%, +1.80%, Materials, $11.8M
1576, TG6, TG Metals Ltd, $0.21, +2.44%, +10.53%, +55.56%, Materials, $25.31M
863, TGF, Tribeca Global Natural Resources Ltd, $2.39, +1.70%, +27.13%, +70.71%, Financials, $176.3M
1868, TGH, Terragen Holdings Ltd, $0.024, 0.00%, 0.00%, -36.84%, Materials, $12.12M
839, TGM, Theta Gold Mines Ltd, $0.18, 0.00%, +16.13%, -2.70%, Materials, $188.38M
759, TGN, Tungsten Mining NL, $0.22, +2.33%, +41.94%, +150.00%, Materials, $245.83M
1230, TGP, 360 Capital Group, $0.31, 0.00%, +3.33%, -49.18%, Financials, $61.03M
555, THL, Tourism Holdings Rentals Ltd, $2.19, -0.46%, +6.83%, +20.33%, Industrials, $484.2M
2034, THR, Thor Energy Plc, $0.011, 0.00%, -8.33%, -15.39%, Materials, $7.72M
1539, TIA, Tian An Australia Ltd, $0.32, 0.00%, +18.52%, +64.10%, Real Estate, $27.71M
1398, TIG, Tigers Realm Coal Ltd, $0.003, 0.00%, 0.00%, 0.00%, Materials, $39.2M
1932, TIO, Temas Resources Corp, $0.19, 0.00%, +2.70%, -5.00%, Materials, $10.45M
1348, TIP, Teaminvest Private Group Ltd, $1.61, -4.17%, -5.85%, -20.69%, Financials, $43.72M
1316, TKM, Trek Metals Ltd, $0.077, +2.67%, +30.51%, +196.15%, Materials, $47.87M
56, TLC, The Lottery Corporation Ltd, $5.18, -0.77%, -2.81%, +2.78%, Consumer Discretionary, $11.53B
851, TLG, Talga Group Ltd, $0.37, +1.37%, -13.95%, -12.94%, Materials, $181.95M
1619, TLM, Talisman Mining Ltd, $0.12, -4.00%, +21.21%, -44.19%, Materials, $22.6M
